cultivos,evaluacion_definitiva_semestre_a2013_area_sembr_ha,evaluacion_definitiva_semestre_a2013_area_cosech_ha,evaluacion_definitiva_semestre_a2013_produc_ton,evaluacion_definitiva_semestre_a2013_rendim_tha,evaluacion_definitiva_semestre_a2013_precio_al_producr_ton,evaluacion_definitiva_semestre_a2013_costos_de_produc_ha,evaluacion_definitiva_semestre_a2013_calific_rendim_ento_a,evaluacion_definitiva_semestre_a2013_m,evaluacion_definitiva_semestre_a2013_b,semestre_b2013_area_sembr_ha,semestre_b2013_area_cosech_ha,semestre_b2013_produc_esperad_ton,semestre_b2013_rendim_tha,semestre_b2013_precio_al_producr_ton,semestre_b2013_costos_de_produc_ha,consolidado_evaluacion_ano_2013_area_sembr_ha,consolidado_evaluacion_ano_2013_area_cosech_ha,consolidado_evaluacion_ano_2013_esperad_ton,consolidado_evaluacion_ano_2013_produc_rendim_tha,consolidado_evaluacion_ano_2013_del_produc,consolidado_evaluacion_ano_2013_estado_precio_al_producr_ton,consolidado_evaluacion_ano_2013_costos_de_produc_ha,pronostico_semestre_a2014_area_sembr_ha,pronostico_semestre_a2014_area_cosech_ha,pronostico_semestre_a2014_esperad_ton,pronostico_semestre_a2014_produc_tha,ano_vigencia
tabaco rubio,1304.5,1284,3087.1999999999998,2.40436137071651,5720000,12399322.0619282,,,,867.20000000000005,847.5,2000.5500000000002,2.360530973451328,5720000,12399322.061928218,2171.6999999999998,2131.5,5087.75,2.386934083978419,H-SECA,5720000,12399322.06192822,0,0,0,0,2013
soya,5,5,12.5,2.5,1116000,2150000,,,,3,3,7.5,2.5,1116000,2150000,8,8,20,2.5,G-SEGO,1116000,2150000,0,0,0,0,2012
frijol tecnifica,8441,8281,11050.85,1.33448255041662,2685000,5586606.1870620102,,,,7980,7772.5,10295.799999999999,1.324644580250884,2864999.9999999995,5586606.1870620111,16421,16053.5,21346.649999999998,1.329719375837045,G-SECO,2775000,5586606.1870620111,0,0,0,0,2013
frijol tecnifica,8656,8538,11864.5,1.38961115015226,3195616.1237304602,3750000,,,,8221,8221,11771.6,1.43189393017881,3056889.88752591,3850000,16877,16759,23636.099999999999,1.41035264633928,G-SECO,3126253.0056281826,3800000,8669,8669,12807.5,1.477390702503172,2007
tabaco rubio,1394.2,1394.2,3281.2600000000002,2.35350738774925,4700000,10700000,,,,379.5,379.5,865.97500000000002,2.281884057971014,4769680.1293339878,10961000,1773.7,1773.7,4147.2350000000006,2.338182894514293,H-SECA,4734840.0646669939,10830500,1175,1175,2915.1999999999998,2.481021276595745,2008
soya,4,4,10,2.5,981000,2214200,,,,4,4,10,2.5,951700,2214500,8,8,20,2.5,G-SEGO,951700,2214500,0,0,0,0,2013
tomate mesa,760,688,11550.5,16.788517441860499,1050000,12898131.3256416,,,,660,631.5,10562.5,16.726049089469516,1082000.0000000002,12898131.325641615,1420,1319.5,22113,16.758620689655171,VERDE,1066000,12898131.325641617,0,0,0,0,2011
maiz. tec. amarillo,6020,5923.5,21713.5,3.66565375200473,773740.78798903897,2893500,,,,5886,5827,22064.399999999998,3.786579715119272,826827.33271695604,2909000,11906,11750.5,43777.899999999994,3.725620186375048,G-SECO,800284.06035299762,2901250,5649,5649,21506.5,3.807134006018764,2009
tabaco negro,0,0,0,,,,,,,0,0,0,,,,0,0,0,,H-SECA,,,0,0,0,0,2014
frijol tradicio.,4148,4073,2965.3499999999999,0.728050576970292,2665789.8730335399,1300000,,,,4016,4006,2918.6500000000001,0.728569645531702,2754883.250818016,1300000,8164,8079,5884,0.728307958905805,G-SECO,2710336.5619257768,1300000,4059,4059,2922.75,0.720066518847007,2007
maiz.trad. amaril,5937,5919,8919.2999999999993,1.5068930562595,702385.83745361201,1020000,,,,5926,5864,8664.1000000000004,1.477506821282401,759933.86502925854,1076000,11863,11783,17583.400000000001,1.492268522447594,G-SECO,731159.85124143527,1048000,6365,6365,9538.5,1.498586017282011,2008
melon,30,30,560,18.6666666666667,574000,2500000,,,,32,32,605,18.90625,668661.15702479333,2700000,62,62,1165,18.79032258064516,FRUTA,621330.57851239666,2600000,33,33,658,19.939393939393938,2008
ahuyama,398,385,5749,14.9324675324675,565000,3673359.57782673,,,,304,296,4514.5,15.251689189189189,546000,3673359.5778267253,702,681,10263.5,15.071218795888399,FRUTA,555500,3673359.5778267253,0,0,0,0,2014
cebolla cabeza,27,24.5,368.80000000000001,15.053061224489801,911008.67678958795,6155000,,,,77,76.5,1060.5,13.862745098039216,858613.86138613848,6278000,104,101,1429.3,14.151485148514851,BULBO,884811.26908786315,6216500,76,76,1103,14.513157894736842,2009
maiz. tec. amarillo,5684.5,5669.5,21399.400000000001,3.77447746714878,712930.92329691502,2500000,,,,5775,5688,20681.200000000001,3.635935302390999,810425.65228323324,2605600,11459.5,11357.5,42080.599999999999,3.70509355051728,G-SECO,761678.28779007401,2552800,5911,5911,22042.5,3.729064456098799,2008
pepino rellenar,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
tabaco rubio,1146.5999999999999,1145.5999999999999,2579.75,2.25187674581006,5010000,11456300,,,,594,589.5,1344.6799999999998,2.281051738761662,5512859.9369366709,11468800,1740.6000000000001,1735.1000000000001,3924.4299999999998,2.261788945882081,H-SECA,5261429.9684683364,11462550,1034,1034,2468.8000000000002,2.38762088974855,2009
sorgo,1352,1352,5130.5,3.79474852071006,447079.23204366001,1675000,,,,1097,1097,4066.9000000000001,3.707292616226071,448715.97531289182,1675000,2449,2449,9197.3999999999996,3.75557370355247,G-SECO,447897.60367827612,1675000,1197,1197,4583.1000000000004,3.828822055137845,2007
maiz.trad. blanco,4775,4767,7071.8999999999996,1.48351164254248,655680.22737878095,900000,,,,4134,4134,6135.5,1.484155781325593,649522.12533615856,925000,8909,8901,13207.4,1.483810807774407,G-SECO,652601.17635746964,912500,4409,4409,6530.6999999999998,1.481220231344976,2007
pimenton,103,91,688.14999999999998,7.56208791208791,1482000,5800000,,,,70.5,65,467,7.184615384615385,1238000,5800000,173.5,156,1155.1500000000001,7.404807692307693,FRUTA,1360000,5800000,0,0,0,0,2011
pepino rellenar,0,0,0,,,,,,,0,0,0,,,,0,0,0,,0,,,0,0,0,0,2014
arveja,954,946.5,5432.5799999999999,5.73965134706815,1928595.9893825799,3850000,,,,863,828,4790.1999999999998,5.785265700483092,2154747.6097031445,3887000,1817,1774.5,10222.780000000001,5.760935474781628,VERDE,2041671.7995428611,3868500,939,939,5622,5.987220447284345,2008
sandia,98.5,98.5,1766,17.9289340101523,357197.05549263902,2250000,,,,90,90,1706,18.955555555555556,362584.99413833534,2250000,188.5,188.5,3472,18.419098143236074,FRUTA,359891.02481548709,2250000,91,91,1717,18.868131868131869,2007
maiz tec. blanco,2181,2148,8938.1000000000004,4.16112662942272,794000,3159271.7534016198,,,,1829,1787,7389.6000000000004,4.135198656966984,842999.99999999988,3159271.7534016203,4010,3935,16327.700000000001,4.149351969504448,G-SECO,818500,3159271.7534016203,0,0,0,0,2014
hortalizas,488.5,488.5,2599.75,5.32190378710338,875000,3500000,,,,452.5,417.80000000000001,2345.6599999999999,5.614313068453805,900000,3499999.9999999995,941,906.29999999999995,4945.4099999999999,5.456703078450844,VERDE,887500,3500000.0000000005,0,0,0,0,2012
soya,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
sandia,166,165.5,1421,8.58610271903323,431379.310344828,2950200,,,,183.5,183.5,1581,8.615803814713896,342779.88614800759,3135000,349.5,349,3002,8.601719197707736,FRUTA,387079.59824641759,3042600,235,235,2457,10.455319148936169,2009
sandia,74,71,1150,16.197183098591498,631000,4498804.4291338604,,,,59,56,903.5,16.133928571428573,613000,4498804.4291338585,133,127,2053.5,16.169291338582678,FRUTA,622000,4498804.4291338585,0,0,0,0,2014
maiz tec. blanco,2039,2029,6800.5,3.35165105963529,687772.22263068904,2170000,,,,1894,1894,6306.6000000000004,3.329778247096093,677393.92065455229,2250000,3933,3923,13107.1,3.341091001784349,G-SECO,682583.07164262061,2210000,2068,2068,7004.6000000000004,3.387137330754352,2007
maiz.trad. amaril,5536,5526,8017.1000000000004,1.45079623597539,860000,1379743.9577361201,,,,5327,5205.5,7467.0499999999993,1.434453942944962,875000.00000000012,1379743.9577361203,10863,10731.5,15484.15,1.44286912360807,G-SECO,867500,1379743.9577361206,0,0,0,0,2013
pimenton,227,227,1793,7.89867841409692,1013887.33965421,3700000,,,,229.5,229.5,1820,7.930283224400871,985579.67032967042,4000000,456.5,456.5,3613,7.914567360350492,FRUTA,999733.50499194069,3850000,227.5,227.5,1898,8.342857142857143,2008
pimenton,105,105,781.60000000000002,7.44380952380952,1350000,6500000,,,,61,60.5,434.89999999999998,7.188429752066115,1580000.0000000002,6500000,166,165.5,1216.5,7.350453172205438,FRUTA,1465000,6500000,0,0,0,0,2012
